Scrip Name,Quantity,Buy_average,Buy_value,Sell_average,Sell_value,Realized P&L,Transaction Date
Tata Consumer Products,50,818.79,40939.5,827,41350,410.5,19/04/2022
Tata Consumer Products,50,818.79,40939.5,830.4,41520,580.5,19/04/2022
Federal Bank,100,96.92,9692,98.2,9820,128,19/04/2022
Federal Bank,100,96.9,9690,98.1,9810,120,19/04/2022
Federal Bank,150,95.83,14374.5,97.5,14625,250.5,26/04/2022
Federal Bank,200,96.71,19342,97.7,19540,198,28/04/2022
Tata Consumer Products,50,818,40900,823,41150,250,29/04/2022
Quick Heal Technologies ,100,181.4,18140,183.5,18350,210,23/05/2022
Federal Bank,200,85,17000,86,17200,200,27/05/2022
Indian Hotels Company,30,225.01,6750.3,229,6870,119.7,30/05/2022
Indian Oil Corporation,100,114.36,11436,115.2,11520,84,30/05/2022
Power Finance Corp,300,108.68,32604,110.7,33210,606,08/06/2022
Bajaj Holdings & Investment,2,4919.38,9838.76,5000,10000,161.24,10/06/2022
Welspun India,500,76.54,38270,77,38500,230,27/06/2022
Welspun India,300,70.85,21255,72,21600,345,04/07/2022
Quick Heal Technologies ,400,161.24,64496,163,65200,704,11/07/2022
Welspun India,100,69.93,6993,71.2,7120,127,12/07/2022
Orient Cement,100,113.8,11380,115.2,11520,140,13/07/2022
Quick Heal Technologies ,225,174.53,39269.25,192.52,43317,4047.75,18/07/2022
Welspun India,100,69.93,6993,71,7100,107,18/07/2022
Orient  Cement,115,113.48,13050.2,114.6,13179,128.8,20/07/2022
Bajaj Holdings & Investment,1,4750,4750,4820,4820,70,20/07/2022
Orient Cement,230,112.82,25948.6,115.3,26519,570.4,20/07/2022
Quick Heal Technologies ,50,197.5,9875,203.5,10175,300,21/07/2022
Power Finance Corporation,100,111,11100,112.2,11220,120,22/07/2022
Indraprasth Gas ,30,368.83,11064.9,376.5,11295,230.1,22/07/2022
Bandhan Bank,50,272.5,13625,273.5,13675,50,27/07/2022
Tata Coffee,100,217.26,21726,218.5,21850,124,27/07/2022
Tata Coffee,100,220.5,22050,221.5,22150,100,29/07/2022
Quick Heal Technologies ,100,201.25,20125,213,21300,1175,08/08/2022
Indraprasth Gas ,180,356.38,64148.4,373.5,67230,3081.6,10/08/2022
Tata Steel,50,106.86,5343,108.5,5425,82,10/08/2022
Power Finance Corporation,110,117.86,12964.6,119,13090,125.4,11/08/2022
Power Finance Corporation,50,119.17,5958.5,121.2,6060,101.5,12/08/2022
Power Finance Corporation,450,119.17,53626.5,121.3,54585,958.5,12/08/2022
Welspun India,500,79,39500,80,40000,500,17/08/2022
Quick Heal Technologies ,100,210,21000,214,21400,400,17/08/2022
Orient Cement,500,115.5,57750,116.6,58300,550,17/08/2022
Orient  Cement,500,119.69,59845,120.5,60250,405,18/08/2022
Welspun India,500,76.78,38390,78.3,39150,760,23/08/2022
REC ,415,104.42,43334.3,105.5,43782.5,448.2,23/08/2022
REC ,450,104.8,47160,106.2,47790,630,25/08/2022
Power Finance Corporation,300,117.5,35250,119.3,35790,540,25/08/2022
Power Finance Corporation,500,119.5,59750,121,60500,750,25/08/2022
Tata Steel,500,106.5,53250,108.6,54300,1050,26/08/2022
REC ,85,104.42,8875.7,109.2,9282,406.3,26/08/2022
Ambuja Cements,100,401.3,40130,403.5,40350,220,29/08/2022
Tata Steel,450,106,47700,107.5,48375,675,06/09/2022
Motherson Sumi System,200,122,24400,124.75,24950,550,09/09/2022
Welspun India,1000,77.81,77810,79,79000,1190,12/09/2022
Tata Steel,200,106,21200,107.35,21470,270,12/09/2022
Power Finance Corporation,200,115.45,23090,117,23400,310,15/09/2022
Tata Steel,500,104.24,52120,105.5,52750,630,07/11/2022
Power Finance Corporation,250,117,29250,119.75,29937.5,687.5,11/11/2022
Power Finance Corporation,500,120.4,60200,121.5,60750,550,14/11/2022
Power Finance Corporation,250,119.96,29990,121.2,30300,310,17/11/2022
Welspun India,190,76.94,14618.6,78,14820,201.4,24/11/2022
REC,500,105.6,52800,105.7,52850,50,25/11/2022
REC,525,105.78,55534.5,106.25,55781.25,246.75,25/11/2022
Quick Heal Technologies,250,181.29,45322.5,182.7,45675,352.5,25/11/2022
Quick Heal Technologies,100,180.21,18021,181,18100,79,25/11/2022
NMDC,350,117,40950,118.5,41475,525,29/11/2022
NMDC,500,117.19,58595,118.5,59250,655,30/11/2022
Quick Heal Technologies,100,179,17900,180.5,18050,150,30/11/2022
Federal Bank,100,131.2,13120,133.1,13310,190,01/12/2022
Federal Bank,100,131.45,13145,133.2,13320,175,01/12/2022
Quick Heal Technologies,100,179,17900,181.5,18150,250,01/12/2022
Bajaj Finserv,10,1630,16300,1642,16420,120,02/12/2022
Bajaj Finserv,20,1632.5,32650,1650,33000,350,02/12/2022
Quick Heal Technologies,100,179,17900,181.65,18165,265,02/12/2022
Quick Heal Technologies,100,180.1,18010,181.7,18170,160,02/12/2022
HDFC Bank,10,1600,16000,1613,16130,130,05/12/2022
Orient Cement,100,130,13000,132,13200,200,08/12/2022
Orient Cement,100,129.36,12936,131.8,13180,244,08/12/2022
Quick Heal Technologies,100,180,18000,181,18100,100,12/12/2022
Welspun India,200,79.2,15840,80.2,16040,200,12/12/2022
Orient Cement,120,128.5,15420,130,15600,180,12/12/2022
Bajaj Finserv,20,1615,32300,1625,32500,200,14/12/2022
Tata Steel,110,110.73,12180.3,112,12320,139.7,14/12/2022
REC,50,111.42,5571,113.8,5690,119,14/12/2022
Bajaj Finserv,10,1615,16150,1630,16300,150,15/12/2022
Bajaj Finserv,28,1614.99,45219.72,1630,45640,420.28,15/12/2022
Tata Steel,210,110.52,23209.2,112,23520,310.8,19/12/2022
Bajaj Finserv,30,1607,48210,1625,48750,540,19/12/2022
Orient Cement,100,129,12900,130.5,13050,150,21/12/2022
Orient Cement,150,123.14,18471,124,18600,129,22/12/2022
Federal Bank,150,128.06,19209,128.3,19245,36,26/12/2022
Tata Steel,250,110.6,27650,111,27750,100,27/12/2022
Tata Steel,200,111.5,22300,113.15,22630,330,30/12/2022
Indian Hotels Company,40,312.78,12511.2,317,12680,168.8,30/12/2022
Sail ,1000,88.91,88910,89.1,89100,190,11/01/2023
Sail ,200,88.7,17740,89.5,17900,160,13/01/2023
Sail ,200,86.5,17300,88.6,17720,420,18/01/2023
